Year,Month,TotalPrecip
1998,Jan,3.71
1998,Feb,13.79
1998,Mar,3.37
1998,Apr,1.00
1999,Oct,0.00
1999,Nov,0.28
1999,Dec,0.00
1999,Jan,1.19
1999,Feb,0.50
1999,Mar,2.12
1999,Apr,2.23
2000,Oct,1.12
2000,Nov,0.00
2000,Dec,0.00
2000,Jan,0.85
2000,Feb,4.71
2000,Mar,2.39
2000,Apr,1.88
2001,Oct,0.04
2001,Nov,1.34
2001,Dec,1.25
2001,Jan,4.68
2001,Feb,7.30
2001,Mar,1.29
2001,Apr,1.10
2002,Oct,0.05
2002,Nov,1.60
2002,Dec,1.77
2002,Jan,0.73
2002,Feb,0.35
2002,Mar,0.27
2002,Apr,0.02
2003,Oct,0.71
2003,Nov,0.80
2003,Dec,1.14
2003,Jan,0.00
2003,Feb,3.78
2003,Mar,1.66
2003,Apr,0.49
2004,Oct,3.78
2004,Nov,0.11
2004,Dec,6.49
2004,Jan,0.49
2004,Feb,4.61
2004,Mar,0.77
2004,Apr,0.03
2005,Oct,1.01
2005,Nov,0.47
2005,Dec,0.95
2005,Jan,6.87
2005,Feb,6.95
2005,Mar,1.08
2005,Apr,0.90
2006,Oct,0.00
2006,Nov,0.25
2006,Dec,0.61
2006,Jan,1.42
2006,Feb,2.03
2006,Mar,2.52
2006,Apr,1.63
2007,Oct,0.64
2007,Nov,0.50
2007,Dec,1.59
2007,Jan,0.39
2007,Feb,0.82
2007,Mar,0.09
2007,Apr,0.36
2008,Oct,0.00
2008,Nov,1.50
2008,Dec,2.51
2008,Jan,4.67
2008,Feb,2.17
2008,Mar,0.03
2008,Apr,0.03
2009,Oct,1.30
2009,Nov,0.00
2009,Dec,2.05
2009,Jan,0.51
2009,Feb,3.41
2009,Mar,0.05
2009,Apr,0.00
2010,Oct,1.56
2010,Nov,0.59
2010,Dec,8.83
2010,Jan,4.30
2010,Feb,3.23
2010,Mar,0.21
2010,Apr,1.25
2011,Oct,0.63
2011,Nov,1.69
2011,Dec,0.67
2011,Jan,0.81
2011,Feb,1.47
2011,Mar,4.04
2011,Apr,0.00
2012,Oct,0.15
2012,Nov,1.31
2012,Dec,2.82
2012,Jan,1.19
2012,Feb,0.12
2012,Mar,1.78
2012,Apr,1.51
2013,Oct,0.02
2013,Nov,0.69
2013,Dec,0.30
2013,Jan,1.30
2013,Feb,0.20
2013,Mar,0.66
2013,Apr,0.06
2014,Oct,0.24
2014,Nov,0.42
2014,Dec,4.04
2014,Jan,0.00
2014,Feb,2.79
2014,Mar,0.36
2014,Apr,0.26
2015,Oct,0.10
2015,Nov,0.06
2015,Dec,1.08
2015,Jan,1.25
2015,Feb,0.27
2015,Mar,0.49
2015,Apr,0.11
